national_tmed,national_tmin,national_tmax
14.7773084,10.61760893,18.94671066
15.90640813,12.33070967,19.48120673
18.01259289,13.64913236,22.37569059
19.40905689,14.46871862,24.37527467
18.77404655,13.70612279,23.859314
18.07062757,12.65386433,23.47354132
15.73024175,9.479738701,22.00107987
15.96034512,10.27553389,21.63277609
16.42901789,10.14647699,22.69404848
16.17928337,10.37612235,21.97749513
15.20056134,11.61981251,18.76511674
8.555091949,4.221974938,12.90337962
8.755565151,3.962816749,13.52184485
11.08423458,6.331659249,15.84117451
11.01558342,6.208077725,15.83081838
11.35317479,5.937195782,16.75723957
11.70679618,6.641512347,16.76306319
11.05877022,5.668675932,16.4318735
11.62808809,5.624294197,17.6294232
12.79270648,6.608175285,18.99306471
12.03579193,7.013520877,17.02452159
12.27717089,9.21574169,15.31338989
10.09118863,7.666260822,12.51008724
8.531770551,5.481145904,11.58650013
7.553653028,3.975209566,11.0840553
7.760746174,3.759326168,11.73495115
10.13002391,6.425403116,13.87258508
10.06633365,6.206864971,13.93241545
10.99618041,7.553991337,14.47437802
10.63571133,7.117626966,14.18002092
10.96049799,6.492671209,15.42195451
12.77528849,9.590827686,15.92676695
12.31084298,7.708132324,16.93137826
11.01710892,6.729465366,15.30523393
10.91033253,6.730828384,15.1099253
11.78964703,7.195484846,16.39520027
10.83394647,5.573360863,16.12284483
9.607339756,5.176702098,14.05089244
9.391876524,5.722406663,13.03397389
9.0609672,6.135063779,11.97866054
8.857966333,6.736212195,10.95493261
7.555828079,4.057264352,11.03870962
7.965161349,4.261671873,11.67982745
9.054074032,4.806695391,13.30166444
10.18080679,5.609948557,14.74038411
10.33037446,5.753763121,14.91644556
10.42330124,5.223856868,15.63084697
10.17467122,5.052579312,15.2925526
9.887446219,4.572361649,15.19835746
9.351221109,3.53201072,15.16575819
8.227360729,3.235199349,13.25316756
7.092423818,2.305498775,11.87741291
8.562868391,3.386425383,13.71387444
9.965677435,5.157548358,14.77139128
9.14190839,3.958736413,14.36434045
7.605293417,2.236880638,12.95919974
7.671531767,1.735414003,13.59259605
8.136983095,3.811458862,12.47046766
10.35133882,5.605275711,15.11338257
10.28210807,5.016216455,15.55551058
7.831711793,3.472199669,12.18105753
8.514328502,3.911775852,13.11185243
5.809746561,0.372289588,11.24893828
2.214535445,-2.2067932,6.647185904
3.383694823,-0.808355096,7.60050737
5.167680347,1.61500891,8.709493343
6.992596234,2.157575039,11.81065657
7.051829196,1.432917828,12.6555488
6.373837383,0.596035309,12.16001784
5.6681061,0.984439171,10.35302619
7.917334451,5.237871992,10.56496973
